id,query_string,repository_id,repository_url,project_url,version,title,description,language,doi,upload_date,download_date,download_repository_folder,download_project_folder,download_version_folder,download_method
29,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-idasa-afb-sa-2002-v1,,Afrobarometer Survey South Africa 2002,,en,,2011-12-12T12:51:46+,2026-04-04T20:15:21.026379,datafirst,zaf-idasa-afb-sa-2002-v1,,API-CALL
30,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-uct-um-capssd-2002-2009-v1,,"Cape Area Panel Study 2002-2009, Waves 1-5 Secure Data",,en,,2015-08-24T16:22:34+,2026-04-04T20:15:24.513362,datafirst,zaf-uct-um-capssd-2002-2009-v1,,API-CALL
31,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/afr-afr16-2002-2004-v1,,Afrobarometer Survey 2002-2004,,en,,2012-01-16T12:58:52+,2026-04-04T20:15:27.942394,datafirst,afr-afr16-2002-2004-v1,,API-CALL
32,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-saldru-nids-2014-2015-v2.0.0,,"National Income Dynamics Study 2014-2015, Wave 4",,en,,2016-05-17T12:38:25+,2026-04-04T20:15:31.366839,datafirst,zaf-saldru-nids-2014-2015-v2.0.0,,API-CALL
33,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-doh-dhs-1998-v1,,"Demographic and Health Survey 1998, South Africa",,en,,2013-05-22T15:48:10+,2026-04-04T20:15:34.811724,datafirst,zaf-doh-dhs-1998-v1,,API-CALL
34,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-saldru-nids-2012-v3.0.0,,"National Income Dynamics Study 2012, Wave 3",,en,,2013-11-24T20:01:08+,2026-04-04T20:15:38.476554,datafirst,zaf-saldru-nids-2012-v3.0.0,,API-CALL
35,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-saldru-nids-2008-v7.0.0,,National Income Dynamics Study 2008,,en,,2013-11-24T06:18:01+,2026-04-04T20:15:42.501472,datafirst,zaf-saldru-nids-2008-v7.0.0,,API-CALL
36,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-idasa-afb-sa-2004-v1,,Afrobarometer Survey South Africa 2004,,en,,2011-12-12T14:04:23+,2026-04-04T20:15:46.115671,datafirst,zaf-idasa-afb-sa-2004-v1,,API-CALL
37,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/afr-afr7-1999-2000-v1,,Afrobarometer Survey 1 1999-2000,,en,,2012-01-16T12:27:33+,2026-04-04T20:15:49.598903,datafirst,afr-afr7-1999-2000-v1,,API-CALL
38,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/afr-afr34-2011-2013-v1,,Afrobarometer Survey 2011-2013,,en,,2015-08-27T11:58:39+,2026-04-04T20:15:52.979321,datafirst,afr-afr34-2011-2013-v1,,API-CALL
